ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
xokleng-1378_gosingular-2,,xokleng,1378_gosingular,t ẽ ŋ,t ẽ ŋ,,,,749,,,
ingain-120_die-2,,ingain,120_die,n d ɛ ɾ,n d ɛ ɾ,,,,499,,,
kaingang-73_burn-1,,kaingang,73_burn,t ɛ ɾ,t ɛ ɾ,,,,268,,,
xokleng-73_burn-1,,xokleng,73_burn,t ɛ l,t ɛ l,,,,268,,,
ingain-992_dream-1,,ingain,992_dream,jVndi,jVndi,,,,526,,,
kaingang-992_dream-1,,kaingang,992_dream,p ɛ t i,p ɛ t i,,,,524,,,
kaingang-992_dream-2,,kaingang,992_dream,j õ t i,j õ t i,,,,524,,,
xokleng-992_dream-1,,xokleng,992_dream,v ã ɲ + m/b i [ŋ] t i,v ã ɲ + m/b i [ŋ] t i,,,,528,,,
ingain-349_rain-1,,ingain,349_rain,n/d a,n/d a,,,,1377,,,
ingain-293_mother-1,,ingain,293_mother,n ə̃,n ə̃,,,,1117,,,
kaingang-293_mother-1,,kaingang,293_mother,n ə̃,n ə̃,,,,1117,,,
xokleng-293_mother-1,,xokleng,293_mother,n õ,n õ,,,,1117,,,
kaingang-1347_send-1,,kaingang,1347_send,j ẽ n ẽ,j ẽ n ẽ,,,,1498,,,
xokleng-1347_send-1,,xokleng,1347_send,j ã n ã,j ã n ã,,,,1498,,,
ingain-144_eye-1,,ingain,144_eye,n/d a,n/d a,,,,608,,,
ingain-186_fruit-1,,ingain,186_fruit,n/d a,n/d a,,,,710,,,
ingain-144_eye-2,,ingain,144_eye,k ə n/d a,k ə n/d a,,,,608,,,
ingain-186_fruit-2,,ingain,186_fruit,k ə n/d a,k ə n/d a,,,,710,,,
ingain-620_weevil-1,,ingain,620_weevil,k ə n/d a + ŋ g ə,k ə n/d a + ŋ g ə,,,,1940,,,
ingain-145_eyebrow-1,,ingain,145_eyebrow,k ə n/d a + k i,k ə n/d a + k i,,,,610,,,
kaingang-144_eye-1,,kaingang,144_eye,k a n ẽ,k a n ẽ,,,,609,,,
xokleng-144_eye-1,,xokleng,144_eye,k ɔ n ã,k ɔ n ã,,,,609,,,
kaingang-405_snail-1,,kaingang,405_snail,n/d ɔ n + n ũ n ẽ,n/d ɔ n + n ũ n ẽ,,,,1594,,,
kaingang-405_snail-2,,kaingang,405_snail,n/d u n,n/d u n,,,,1593,,,
xokleng-82_caterpillar-1,,xokleng,82_caterpillar,n/d u n,n/d u n,,,,310,,,
ingain-302_neck-1,,ingain,302_neck,n/d u ɲ,n/d u ɲ,,,,1161,,,
kaingang-302_neck-1,,kaingang,302_neck,n/d u ɲ,n/d u ɲ,,,,1161,,,
xokleng-302_neck-1,,xokleng,302_neck,n/d u ɲ,n/d u ɲ,,,,1161,,,
ingain-109_crooked-1,,ingain,109_crooked,p a n/d ɔ,p a n/d ɔ,,,,430,,,
kaingang-29_bad-1,,kaingang,29_bad,p õ n/d ɔ,p õ n/d ɔ,,,,118,,,
xokleng-29_bad-1,,xokleng,29_bad,p a n/d ɔ,p a n/d ɔ,,,,118,,,
ingain-1133_belyingdown-1,,ingain,1133_belyingdown,n ə̃,n ə̃,,,,148,,,
kaingang-1133_belyingdown-1,,kaingang,1133_belyingdown,n ə̃,n ə̃,,,,148,,,
xokleng-1133_belyingdown-1,,xokleng,1133_belyingdown,n õ,n õ,,,,148,,,
kaingang-728_beat-1,,kaingang,728_beat,ɾ ẽ,ɾ ẽ,,,,163,,,
kaingang-728_beat-2,,kaingang,728_beat,ɾ ẽ n,ɾ ẽ n,,,,163,,,
xokleng-728_beat-1,,xokleng,728_beat,l ã,l ã,,,,163,,,
xokleng-728_beat-2,,xokleng,728_beat,l ã n,l ã n,,,,163,,,
ingain-1285_handle-1,,ingain,1285_handle,l + a ɾ,l + a ɾ,,,,802,,,
kaingang-523_pity-1,,kaingang,523_pity,ɸ ẽ ɾ,ɸ ẽ ɾ,,,,1304,,,
kaingang-523_pity-2,,kaingang,523_pity,j ẽ ɾ ẽ,j ẽ ɾ ẽ,,,,1306,,,
xokleng-715_armpit-1,,xokleng,715_armpit,ð ã l,ð ã l,,,,77,,,
xokleng-715_armpit-2,,xokleng,715_armpit,j ã l ã,j ã l ã,,,,74,,,
ingain-369_saliva-1,,ingain,369_saliva,j a ɾ ə,j a ɾ ə,,,,1458,,,
kaingang-369_saliva-1,,kaingang,369_saliva,j õ ɾ a,j õ ɾ a,,,,1458,,,
xokleng-369_saliva-1,,xokleng,369_saliva,j ã l ɔ,j ã l ɔ,,,,1458,,,
kaingang-707_goinsingular-1,,kaingang,707_goinsingular,ɾ õ,ɾ õ,,,,750,,,
xokleng-707_goinsingular-1,,xokleng,707_goinsingular,l a,l a,,,,750,,,
ingain-425_sun-1,,ingain,425_sun,nan,n a n,,,,1715,,,
ingain-117_day-1,,ingain,117_day,nan,n a n,,,,484,,,
kaingang-418_star-1,,kaingang,418_star,ɾ õ,ɾ õ,,,,1669,,,
xokleng-418_star-1,,xokleng,418_star,l a,l a,,,,1669,,,
kaingang-1335_fetchwater-1,,kaingang,1335_fetchwater,ɾ u,ɾ u,,,,645,,,
kaingang-978_pour-1,,kaingang,978_pour,ɾ u n,ɾ u n,,,,1336,,,
xokleng-1181_well-1,,xokleng,1181_well,l u n,l u n,,,,1941,,,
kaingang-839_leave-1,,kaingang,839_leave,ɾ ɛ,ɾ ɛ,,,,977,,,
kaingang-1314_load-2,,kaingang,1314_load,ɾ ĩ,ɾ ĩ,,,,1028,,,
kaingang-446_throw-3,,kaingang,446_throw,ɾ ĩ n,ɾ ĩ n,,,,1796,,,
xokleng-446_throw-1,,xokleng,446_throw,l ẽ,l ẽ,,,,1796,,,
xokleng-446_throw-2,,xokleng,446_throw,l ẽ n,l ẽ n,,,,1796,,,
kaingang-541_gothrough-1,,kaingang,541_gothrough,ɾ ɛ,ɾ ɛ,,,,755,,,
xokleng-541_gothrough-1,,xokleng,541_gothrough,l ɛ,l ɛ,,,,755,,,
kaingang-579_clearoff-1,,kaingang,579_clearoff,k u ɾ ɛ,k u ɾ ɛ,,,,357,,,
xokleng-579_clearoff-1,,xokleng,579_clearoff,k u l ɛ,k u l ɛ,,,,357,,,
kaingang-364_root-1,,kaingang,364_root,j õ ɾ ɛ,j õ ɾ ɛ,,,,1435,,,
xokleng-364_root-1,,xokleng,364_root,j ã l ɛ,j ã l ɛ,,,,1435,,,
ingain-466_two-1,,ingain,466_two,ɾi,ɾi,,,,1865,,,
ingain-183_four-1,,ingain,183_four,ɾ i ŋ + ɾ i + kəɾ,ɾ i ŋ + ɾ i + kəɾ,,,,704,,,
kaingang-466_two-1,,kaingang,466_two,ɾ ɛ ŋ + ɾ ɛ,ɾ ɛ ŋ + ɾ ɛ,,,,1866,,,
xokleng-466_two-1,,xokleng,466_two,l ɛ ŋ + l ɛ,l ɛ ŋ + l ɛ,,,,1866,,,
kaingang-273_look-1,,kaingang,273_look,ɾ ĩ ɾ,ɾ ĩ ɾ,,,,1042,,,
