NUMBER	ENGLISH	SEMANTIC_FIELD	CONCEPTICON_ID	CONCEPTICON_GLOSS
407	SOLE (FOOT)	THE_BODY	2666	SOLE (FOOT)
408	SOME	QUANTITY	1241	SOME
409	SON	KINSHIP	1620	SON
410	SORUBIM			
411	SPEAK	SPEECH_AND_LANGUAGE	1623	SPEAK
412	SPIDER	ANIMALS	843	SPIDER
413	SPIT	THE_BODY	1440	SPIT
414	SPLIT	BASIC_ACTIONS_AND_TECHNOLOGY	1437	SPLIT
415	SQUEEZE	BASIC_ACTIONS_AND_TECHNOLOGY	1414	SQUEEZE
416	SQUIRREL	ANIMALS	1628	SQUIRREL
417	STAND	SPATIAL_RELATIONS	1442	STAND
418	STAR	THE_PHYSICAL_WORLD	1430	STAR
419	STICK	THE_PHYSICAL_WORLD	1295	STICK
420	STINGRAY	ANIMALS	1910	STINGRAY
421	STONE	THE_PHYSICAL_WORLD	857	STONE
422	STRAIGHT	SPATIAL_RELATIONS	1404	STRAIGHT
423	STRAW	THE_PHYSICAL_WORLD	2299	STRAW
424	SUCK	FOOD_AND_DRINK	1421	SUCK
425	SUN	THE_PHYSICAL_WORLD	1343	SUN
426	SWEAT	THE_BODY	125	SWEAT (SUBSTANCE)
427	SWEET POTATO	AGRICULTURE_AND_VEGETATION	159	SWEET POTATO
428	SWELL	BASIC_ACTIONS_AND_TECHNOLOGY	1573	SWELL
429	SWIM	MOTION	1439	SWIM
430	TAIL	THE_BODY	1220	TAIL
431	TAPIR	ANIMALS	312	TAPIR
432	TELL	SPEECH_AND_LANGUAGE	1711	TELL
433	TERMITE	ANIMALS	883	TERMITE
434	THAT	MISCELLANEOUS_FUNCTION_WORDS	78	THAT
435	THERE	MISCELLANEOUS_FUNCTION_WORDS	1937	THERE
436	THEY	KINSHIP	817	THEY
437	THICK	SPATIAL_RELATIONS	1244	THICK
438	THIGH	THE_BODY	800	THIGH
439	THIN	SPATIAL_RELATIONS	2308	THIN
440	THINK	COGNITION	2271	THINK
441	THIS	MISCELLANEOUS_FUNCTION_WORDS	1214	THIS
442	THORN	AGRICULTURE_AND_VEGETATION	124	THORN
443	THOU	KINSHIP	1215	THOU
444	THREE	QUANTITY	492	THREE
445	THROAT	THE_BODY	1346	THROAT
446	THROW	MOTION	1456	THROW
447	THUNDER	THE_PHYSICAL_WORLD	1150	THUNDER
448	TIE	BASIC_ACTIONS_AND_TECHNOLOGY	1917	TIE
449	TINAMOU	ANIMALS	3921	TINAMOU
450	TOAD	ANIMALS	894	TOAD
451	TOBACCO	AGRICULTURE_AND_VEGETATION	974	TOBACCO
452	TOENAIL	THE BODY	2662	TOENAIL
453	TONGUE	THE_BODY	1205	TONGUE
454	TONGUE (ORGAN)			
455	TOOTH	THE_BODY	1380	TOOTH
456	TOP	SPACIAL RELATION	1753	TOP
457	TORTOISE	ANIMALS	895	TORTOISE
458	TOUCAN	ANIMALS	308	TOUCAN
459	TREE	AGRICULTURE_AND_VEGETATION	906	TREE
460	TREE TRUNK	AGRICULTURE_AND_VEGETATION	344	TREE TRUNK
461	TUCUM			
462	TUCUNARE			
463	TURN (INTRANSITIVE)			
464	TURN (TRANSITIVE)			
465	TURTLE	ANIMALS	112	TURTLE
466	TWO	QUANTITY	1498	TWO
467	UGLY	EMOTIONS_AND_VALUES	1548	UGLY
468	VAGINA	THE_BODY	1836	VAGINA
469	VIRGO			
470	VOMIT	THE_BODY	1278	VOMIT
471	VULTURE	ANIMALS	1185	VULTURE
472	VULVA	THE BODY	1837	VULVA
473	WALK	MOTION	1443	WALK
474	WANT	EMOTIONS_AND_VALUES	1784	WANT
475	WARM	SENSE_PERCEPTION	1232	WARM
476	WASH	BASIC_ACTIONS_AND_TECHNOLOGY	1453	WASH
477	WASP	ANIMALS	1517	WASP
478	WATER	THE_PHYSICAL_WORLD	948	WATER
479	WAX	ANIMALS	3942	WAX
480	WE	KINSHIP	1212	WE
481	WE (EXCLUSIVE)	KINSHIP	1130	WE (EXCLUSIVE)
482	WET	SENSE_PERCEPTION	1726	WET
483	WHALE SPIN			
484	WHAT	COGNITION	1236	WHAT
485	WHEN	COGNITION	1238	WHEN
486	WHERE	COGNITION	1237	WHERE
487	WHITE	SENSE_PERCEPTION	1335	WHITE
488	WHITE-LIPPED PECCARY	ANIMALS	436	WHITE-LIPPED PECCARY
489	WHO	COGNITION	1235	WHO
490	WIDE	SPATIAL_RELATIONS	1243	WIDE
491	WIDOW	KINSHIP	1756	WIDOW
492	WIDOWER	KINSHIP	1981	WIDOWER
493	WIFE	KINSHIP	1199	WIFE
494	WIND	THE_PHYSICAL_WORLD	960	WIND
495	WING	THE_BODY	1257	WING
496	WIPE	BASIC_ACTIONS_AND_TECHNOLOGY	1454	WIPE
497	WITH	MISCELLANEOUS_FUNCTION_WORDS	1340	WITH
498	WOLF	ANIMALS	522	WOLF
499	WOMAN	KINSHIP	962	WOMAN
500	WOOD	THE_PHYSICAL_WORLD	1803	WOOD
501	WORM	ANIMALS	1219	WORM
502	WRIST	THE_BODY	799	WRIST
503	YAKUTINGA			
504	YAM	AGRICULTURE_AND_VEGETATION	410	YAM
505	YEAR	TIME	1226	YEAR
506	YELLOW	SENSE_PERCEPTION	1424	YELLOW
507	YOU	KINSHIP	1213	YOU
508	YOUNGER BROTHER	KINSHIP	1760	YOUNGER BROTHER
509	WILD ANIMAL	ANIMALS	958	WILD ANIMAL
510	PET	ANIMALS	3780	PET
511	PUBIC HAIR	THE BODY	36	PUBIC HAIR
512	BRAZIL NUT	AGRICULTURE AND VEGETATION	3928	BRAZIL NUT
513	HAIR (HEAD)	THE BODY	2648	HAIR (HEAD)
514	OLD WOMAN	KINSHIP	907	OLD WOMAN
515	OLD MAN	KINSHIP	406	OLD MAN
