id,doculect,concept,forms,lexstatid
185,Xokleng,CLEAR OFF,k u l e,315
186,Kaingang,ROOT,j õ r e,1255
187,Xokleng,ROOT,j ã l e,1255
188,Ingain,TWO,ri,1624
189,Ingain,FOUR,r i ŋ + r i + kɜr,609
190,Kaingang,TWO,r ɛ ŋ + r e,1625
191,Xokleng,TWO,l ɛ ŋ + l e,1625
192,Kaingang,LOOK,r ĩ r,900
193,Xokleng,LOOK,l ẽ l,900
194,Kaingang,SUCK,p a ɸ a,1487
195,Xokleng,SUCK,p ɛ ð ɔ,1487
196,Kaingang,WEAVE,ɸ ɨ,1684
197,Xokleng,WEAVE,ð ɨ,1684
198,Kaingang,SEED,ɸ ɨ,1310
199,Xokleng,SEED,ð ɨ,1310
200,Kaingang,VAGINA,ɸ u,1642
201,Xokleng,VAGINA,ð u,1642
202,Kaingang,BOY,j a ŋ ɸ e,209
203,Kaingang,SLING,ɸ ĩ,1373
204,Xokleng,SLING,ð ẽ,1373
205,Kaingang,HUNT,x ẽ,762
206,Kaingang,HUNT,x ẽ,762
207,Kaingang,CHEW,k a j ẽ,297
208,Xokleng,CHEW,k a ŋ j ã,297
209,Ingain,EARRING,n ẽ ŋ/g r a ŋ + ĵ a,480
210,Kaingang,HANG,x a,697
211,Xokleng,HANG,c ɔ,697
212,Kaingang,WASP,x ɨ,1673
213,Xokleng,WASP,c ɨ,1673
214,Kaingang,HUT,x ɨ,772
215,Xokleng,HUT,c ɨ,772
216,Kaingang,HEAT UP,x u + n,720
217,Kaingang,HEAT UP,j õ ŋ + x u,724
218,Xokleng,HEAT UP,c u + l,723
219,Xokleng,HEAT UP,j a ŋ + c u,724
220,Kaingang,SABURÁ (BREWED HONEY),x ɔ ŋ,1274
221,Kaingang,PINCH,k u x e,1124
222,Xokleng,PINCH,k u c e,1124
223,Kaingang,MOTHER,x i,966
224,Xokleng,MOTHER,c i,966
225,Kaingang,STAND,j ẽ,1445
226,Kaingang,STAND,j ẽ ŋ,1445
227,Xokleng,STAND,j ã,1445
228,Xokleng,STAND,j ã ŋ,1445
229,Kaingang,PUT UP,ɸ + ẽ ŋ,1193
230,Xokleng,PUT UP,j ã ŋ,1194
231,Kaingang,EAT (INTRANSITIVE),j ẽ,486
232,Kaingang,EAT (INTRANSITIVE),j ẽ n,486
233,Xokleng,EAT (INTRANSITIVE),j ã n,486
234,Kaingang,NOSE,n ĩ j ẽ,1031
235,Xokleng,NOSE,n ẽ j ã,1031
236,Kaingang,URINE,j ɜ + ɲ,1639
237,Xokleng,URINE,j ɜ + ɲ,1639
238,Kaingang,RIP,j õ + n,1240
239,Xokleng,RIP,ð ã + j ɔ,1241
240,Kaingang,BITTER,ɸ a,185
241,Xokleng,BITTER,ð ɔ,185
242,Ingain,SMOKE,p ẽ + n ẽ j ɜ,1384
243,Kaingang,SMOKE,n ĩ j a,1384
244,Xokleng,SMOKE,n ẽ j ɔ,1384
245,Ingain,BE SITTING,n ẽ,142
246,Kaingang,BE SITTING,n ĩ,142
247,Xokleng,BE SITTING,n ẽ,142
248,Ingain,TOOTH,j a u,1589
249,Kaingang,TOOTH,j õ,1589
250,Xokleng,TOOTH,j a,1589
251,Kaingang,SALT,k a j õ,1279
252,Ingain,HIDE,p ɛ j u,734
253,Kaingang,HIDE,p ɛ j u,734
254,Xokleng,HIDE,p ɛ j u,734
255,Kaingang,ARRIVE,j u r,77
256,Xokleng,ARRIVE,j u l,77
257,Kaingang,BEFORE,j o,158
258,Kaingang,IF NOT,j o,773
259,Kaingang,OTHERWISE,j o,1049
260,Kaingang,PUS,ɸ o,1186
261,Xokleng,PUS,ð o,1186
